
                                  2014

Business_id            | Month |  Actual |  Predicted |  Error %
34uJtlPnKicSaX1V8_tu1A  |  Feb  |  3.724  |  3.393     |  8.9
34uJtlPnKicSaX1V8_tu1A  |  Aug  |  3.562  |  3.438     |  3.5
34uJtlPnKicSaX1V8_tu1A  |  Sep  |  3.591  |  3.273     |  8.9
34uJtlPnKicSaX1V8_tu1A  |  Apr  |  3.471  |  3.471     |  0.0
34uJtlPnKicSaX1V8_tu1A  |  Jun  |  3.875  |  3.417     |  11.8
34uJtlPnKicSaX1V8_tu1A  |  Jul  |  3.485  |  3.636     |  4.3
34uJtlPnKicSaX1V8_tu1A  |  Jan  |  4.188  |  3.667     |  12.4
34uJtlPnKicSaX1V8_tu1A  |  May  |  4.042  |  4.167     |  3.1
34uJtlPnKicSaX1V8_tu1A  |  Nov  |  3.947  |  4.000     |  1.3
34uJtlPnKicSaX1V8_tu1A  |  Dec  |  3.600  |  3.350     |  6.9
34uJtlPnKicSaX1V8_tu1A  |  Oct  |  3.500  |  3.450     |  1.4
FV16IeXJp2W6pnghTz2FAw  |  Mar  |  3.517  |  3.393     |  3.5
FV16IeXJp2W6pnghTz2FAw  |  Feb  |  3.226  |  2.935     |  9.0
FV16IeXJp2W6pnghTz2FAw  |  Aug  |  2.967  |  2.867     |  3.4
FV16IeXJp2W6pnghTz2FAw  |  Sep  |  3.270  |  3.194     |  2.3
FV16IeXJp2W6pnghTz2FAw  |  Apr  |  3.200  |  3.350     |  4.7
FV16IeXJp2W6pnghTz2FAw  |  Jun  |  3.412  |  3.618     |  6.0
FV16IeXJp2W6pnghTz2FAw  |  Jul  |  3.651  |  3.190     |  12.6
FV16IeXJp2W6pnghTz2FAw  |  Jan  |  3.000  |  2.532     |  15.6
FV16IeXJp2W6pnghTz2FAw  |  May  |  3.029  |  2.943     |  2.8
FV16IeXJp2W6pnghTz2FAw  |  Nov  |  3.607  |  3.370     |  6.6
FV16IeXJp2W6pnghTz2FAw  |  Dec  |  2.457  |  2.200     |  10.5
FV16IeXJp2W6pnghTz2FAw  |  Oct  |  3.741  |  3.407     |  8.9
aRkYtXfmEKYG-eTDf_qUsw  |  Mar  |  4.174  |  3.913     |  6.3
aRkYtXfmEKYG-eTDf_qUsw  |  Feb  |  4.333  |  3.833     |  11.5
aRkYtXfmEKYG-eTDf_qUsw  |  Aug  |  4.429  |  3.429     |  22.6
aRkYtXfmEKYG-eTDf_qUsw  |  Sep  |  4.176  |  3.235     |  22.5
aRkYtXfmEKYG-eTDf_qUsw  |  Apr  |  4.250  |  3.375     |  20.6
aRkYtXfmEKYG-eTDf_qUsw  |  Jun  |  4.538  |  4.231     |  6.8
aRkYtXfmEKYG-eTDf_qUsw  |  Jul  |  4.316  |  3.526     |  18.3
aRkYtXfmEKYG-eTDf_qUsw  |  Jan  |  4.211  |  3.737     |  11.3
aRkYtXfmEKYG-eTDf_qUsw  |  May  |  4.389  |  4.389     |  0.0
aRkYtXfmEKYG-eTDf_qUsw  |  Nov  |  4.571  |  4.182     |  8.5
aRkYtXfmEKYG-eTDf_qUsw  |  Dec  |  4.125  |  4.268     |  3.5
aRkYtXfmEKYG-eTDf_qUsw  |  Oct  |  4.524  |  4.000     |  11.6
LLDGTT7FExklkQvHebEjRg  |  Mar  |  4.529  |  3.938     |  13.1
LLDGTT7FExklkQvHebEjRg  |  Feb  |  4.300  |  4.200     |  2.3
LLDGTT7FExklkQvHebEjRg  |  Aug  |  4.778  |  4.000     |  16.3
LLDGTT7FExklkQvHebEjRg  |  Sep  |  4.667  |  4.333     |  7.1
LLDGTT7FExklkQvHebEjRg  |  Apr  |  4.125  |  3.812     |  7.6
LLDGTT7FExklkQvHebEjRg  |  Jun  |  4.105  |  3.158     |  23.1
LLDGTT7FExklkQvHebEjRg  |  Jul  |  4.615  |  4.269     |  7.5
LLDGTT7FExklkQvHebEjRg  |  Jan  |  3.880  |  3.240     |  16.5
LLDGTT7FExklkQvHebEjRg  |  May  |  4.211  |  3.789     |  10.0
LLDGTT7FExklkQvHebEjRg  |  Nov  |  4.464  |  3.857     |  13.6
LLDGTT7FExklkQvHebEjRg  |  Dec  |  4.714  |  4.048     |  14.1
LLDGTT7FExklkQvHebEjRg  |  Oct  |  4.500  |  3.500     |  22.2
OUpcKYGbVYgSS1Oo7aQ56Q  |  Mar  |  3.000  |  3.300     |  10.0
OUpcKYGbVYgSS1Oo7aQ56Q  |  Feb  |  3.118  |  3.353     |  7.5
OUpcKYGbVYgSS1Oo7aQ56Q  |  Aug  |  3.065  |  3.065     |  0.0
OUpcKYGbVYgSS1Oo7aQ56Q  |  Sep  |  3.333  |  3.133     |  6.0
OUpcKYGbVYgSS1Oo7aQ56Q  |  Apr  |  3.533  |  3.667     |  3.8
OUpcKYGbVYgSS1Oo7aQ56Q  |  Jun  |  3.095  |  3.381     |  9.2
OUpcKYGbVYgSS1Oo7aQ56Q  |  Jul  |  3.129  |  2.903     |  7.2
OUpcKYGbVYgSS1Oo7aQ56Q  |  Jan  |  3.200  |  3.200     |  0.0
OUpcKYGbVYgSS1Oo7aQ56Q  |  May  |  2.850  |  2.900     |  1.8
OUpcKYGbVYgSS1Oo7aQ56Q  |  Nov  |  2.944  |  3.111     |  5.7
OUpcKYGbVYgSS1Oo7aQ56Q  |  Dec  |  3.200  |  2.800     |  12.5
OUpcKYGbVYgSS1Oo7aQ56Q  |  Oct  |  3.143  |  3.095     |  1.5
AeKTQBtPRDHLAFL9bzbUnA  |  Mar  |  3.917  |  3.375     |  13.8
AeKTQBtPRDHLAFL9bzbUnA  |  Feb  |  3.368  |  3.158     |  6.2
AeKTQBtPRDHLAFL9bzbUnA  |  Aug  |  3.529  |  3.706     |  5.0
AeKTQBtPRDHLAFL9bzbUnA  |  Sep  |  3.786  |  3.500     |  7.5
AeKTQBtPRDHLAFL9bzbUnA  |  Apr  |  3.345  |  3.724     |  11.3
AeKTQBtPRDHLAFL9bzbUnA  |  Jun  |  4.217  |  3.870     |  8.2
AeKTQBtPRDHLAFL9bzbUnA  |  Jul  |  4.000  |  3.871     |  3.2
AeKTQBtPRDHLAFL9bzbUnA  |  Jan  |  4.091  |  3.524     |  13.9
AeKTQBtPRDHLAFL9bzbUnA  |  May  |  3.650  |  3.400     |  6.8
AeKTQBtPRDHLAFL9bzbUnA  |  Nov  |  4.080  |  3.680     |  9.8
AeKTQBtPRDHLAFL9bzbUnA  |  Dec  |  3.654  |  3.115     |  14.7
AeKTQBtPRDHLAFL9bzbUnA  |  Oct  |  3.950  |  4.050     |  2.5
4UVhuOLaMm2-34SrW8y-ag  |  Mar  |  4.200  |  3.533     |  15.9
4UVhuOLaMm2-34SrW8y-ag  |  Feb  |  3.929  |  3.214     |  18.2
4UVhuOLaMm2-34SrW8y-ag  |  Aug  |  3.900  |  3.500     |  10.3
4UVhuOLaMm2-34SrW8y-ag  |  Sep  |  3.833  |  3.000     |  21.7
4UVhuOLaMm2-34SrW8y-ag  |  Apr  |  3.750  |  3.300     |  12.0
4UVhuOLaMm2-34SrW8y-ag  |  Jun  |  3.389  |  3.333     |  1.6
4UVhuOLaMm2-34SrW8y-ag  |  Jul  |  3.000  |  3.455     |  15.2
4UVhuOLaMm2-34SrW8y-ag  |  Jan  |  4.579  |  3.474     |  24.1
4UVhuOLaMm2-34SrW8y-ag  |  May  |  3.889  |  2.889     |  25.7
4UVhuOLaMm2-34SrW8y-ag  |  Nov  |  3.167  |  2.833     |  10.5
4UVhuOLaMm2-34SrW8y-ag  |  Dec  |  3.714  |  3.846     |  3.6
4UVhuOLaMm2-34SrW8y-ag  |  Oct  |  3.182  |  3.500     |  10.0
aGbjLWzcrnEx2ZmMCFm3EA  |  Mar  |  4.114  |  3.949     |  4.0
aGbjLWzcrnEx2ZmMCFm3EA  |  Feb  |  4.013  |  4.000     |  0.3
aGbjLWzcrnEx2ZmMCFm3EA  |  Aug  |  3.947  |  3.705     |  6.1
aGbjLWzcrnEx2ZmMCFm3EA  |  Sep  |  4.083  |  3.645     |  10.7
aGbjLWzcrnEx2ZmMCFm3EA  |  Apr  |  3.972  |  3.897     |  1.9
aGbjLWzcrnEx2ZmMCFm3EA  |  Jun  |  3.775  |  3.622     |  4.1
aGbjLWzcrnEx2ZmMCFm3EA  |  Jul  |  3.804  |  3.592     |  5.6
aGbjLWzcrnEx2ZmMCFm3EA  |  Jan  |  3.600  |  3.500     |  2.8
aGbjLWzcrnEx2ZmMCFm3EA  |  May  |  3.744  |  3.603     |  3.8
aGbjLWzcrnEx2ZmMCFm3EA  |  Nov  |  3.924  |  3.554     |  9.4
aGbjLWzcrnEx2ZmMCFm3EA  |  Dec  |  3.739  |  3.478     |  7.0
aGbjLWzcrnEx2ZmMCFm3EA  |  Oct  |  3.968  |  3.758     |  5.3
JokKtdXU7zXHcr20Lrk29A  |  Mar  |  3.943  |  3.714     |  5.8
JokKtdXU7zXHcr20Lrk29A  |  Feb  |  4.611  |  3.556     |  22.9
JokKtdXU7zXHcr20Lrk29A  |  Aug  |  4.414  |  4.000     |  9.4
JokKtdXU7zXHcr20Lrk29A  |  Sep  |  4.364  |  4.182     |  4.2
JokKtdXU7zXHcr20Lrk29A  |  Apr  |  4.200  |  3.640     |  13.3
JokKtdXU7zXHcr20Lrk29A  |  Jun  |  4.655  |  4.036     |  13.3
JokKtdXU7zXHcr20Lrk29A  |  Jul  |  4.118  |  4.088     |  0.7
JokKtdXU7zXHcr20Lrk29A  |  Jan  |  4.647  |  4.250     |  8.5
JokKtdXU7zXHcr20Lrk29A  |  May  |  4.130  |  3.913     |  5.3
JokKtdXU7zXHcr20Lrk29A  |  Nov  |  4.238  |  3.905     |  7.9
JokKtdXU7zXHcr20Lrk29A  |  Dec  |  4.684  |  4.211     |  10.1
JokKtdXU7zXHcr20Lrk29A  |  Oct  |  4.704  |  4.037     |  14.2
EWMwV5V9BxNs_U6nNVMeqw  |  Mar  |  4.214  |  4.000     |  5.1
EWMwV5V9BxNs_U6nNVMeqw  |  Feb  |  3.941  |  4.176     |  6.0
EWMwV5V9BxNs_U6nNVMeqw  |  Aug  |  4.231  |  4.364     |  3.1
EWMwV5V9BxNs_U6nNVMeqw  |  Sep  |  4.000  |  3.562     |  10.9
EWMwV5V9BxNs_U6nNVMeqw  |  Apr  |  4.417  |  3.833     |  13.2
EWMwV5V9BxNs_U6nNVMeqw  |  Jun  |  4.286  |  4.286     |  0.0
EWMwV5V9BxNs_U6nNVMeqw  |  Jul  |  4.389  |  4.389     |  0.0
EWMwV5V9BxNs_U6nNVMeqw  |  Jan  |  4.304  |  3.455     |  19.7
EWMwV5V9BxNs_U6nNVMeqw  |  May  |  4.192  |  3.800     |  9.4
EWMwV5V9BxNs_U6nNVMeqw  |  Nov  |  4.200  |  3.700     |  11.9
EWMwV5V9BxNs_U6nNVMeqw  |  Dec  |  4.571  |  4.714     |  3.1
EWMwV5V9BxNs_U6nNVMeqw  |  Oct  |  4.471  |  4.059     |  9.2
tFU2Js_nbIZOrnKfYJYBBg  |  Mar  |  3.600  |  3.160     |  12.2
tFU2Js_nbIZOrnKfYJYBBg  |  Feb  |  4.107  |  4.036     |  1.7
tFU2Js_nbIZOrnKfYJYBBg  |  Aug  |  3.444  |  3.167     |  8.1
tFU2Js_nbIZOrnKfYJYBBg  |  Sep  |  4.286  |  3.964     |  7.5
tFU2Js_nbIZOrnKfYJYBBg  |  Apr  |  4.000  |  3.938     |  1.6
tFU2Js_nbIZOrnKfYJYBBg  |  Jun  |  3.696  |  3.609     |  2.4
tFU2Js_nbIZOrnKfYJYBBg  |  Jul  |  3.640  |  3.840     |  5.5
tFU2Js_nbIZOrnKfYJYBBg  |  Jan  |  3.952  |  3.762     |  4.8
tFU2Js_nbIZOrnKfYJYBBg  |  May  |  3.476  |  3.524     |  1.4
tFU2Js_nbIZOrnKfYJYBBg  |  Nov  |  4.200  |  4.120     |  1.9
tFU2Js_nbIZOrnKfYJYBBg  |  Dec  |  4.000  |  3.162     |  20.9
tFU2Js_nbIZOrnKfYJYBBg  |  Oct  |  3.462  |  3.564     |  3.0
_v6HIliEOn0l0YaAmBOrxw  |  Mar  |  3.312  |  2.688     |  18.9
_v6HIliEOn0l0YaAmBOrxw  |  Feb  |  2.714  |  3.071     |  13.2
_v6HIliEOn0l0YaAmBOrxw  |  Aug  |  3.130  |  3.261     |  4.2
_v6HIliEOn0l0YaAmBOrxw  |  Sep  |  2.880  |  3.360     |  16.7
_v6HIliEOn0l0YaAmBOrxw  |  Apr  |  3.375  |  3.375     |  0.0
_v6HIliEOn0l0YaAmBOrxw  |  Jun  |  3.300  |  2.800     |  15.2
_v6HIliEOn0l0YaAmBOrxw  |  Jul  |  3.640  |  3.680     |  1.1
_v6HIliEOn0l0YaAmBOrxw  |  Jan  |  2.733  |  2.714     |  0.7
_v6HIliEOn0l0YaAmBOrxw  |  May  |  2.684  |  3.000     |  11.8
_v6HIliEOn0l0YaAmBOrxw  |  Nov  |  2.933  |  2.600     |  11.4
_v6HIliEOn0l0YaAmBOrxw  |  Dec  |  2.920  |  3.000     |  2.7
_v6HIliEOn0l0YaAmBOrxw  |  Oct  |  2.235  |  2.588     |  15.8
bYhpy9u8fKkGhYHtvYXazQ  |  Mar  |  2.700  |  2.650     |  1.9
bYhpy9u8fKkGhYHtvYXazQ  |  Feb  |  2.273  |  2.273     |  0.0
bYhpy9u8fKkGhYHtvYXazQ  |  Aug  |  3.556  |  3.500     |  1.6
bYhpy9u8fKkGhYHtvYXazQ  |  Sep  |  3.158  |  3.316     |  5.0
bYhpy9u8fKkGhYHtvYXazQ  |  Apr  |  3.062  |  3.188     |  4.1
bYhpy9u8fKkGhYHtvYXazQ  |  Jun  |  2.875  |  2.875     |  0.0
bYhpy9u8fKkGhYHtvYXazQ  |  Jul  |  3.000  |  2.966     |  1.1
bYhpy9u8fKkGhYHtvYXazQ  |  Jan  |  2.478  |  2.727     |  10.0
bYhpy9u8fKkGhYHtvYXazQ  |  May  |  2.500  |  2.714     |  8.6
bYhpy9u8fKkGhYHtvYXazQ  |  Nov  |  2.947  |  3.368     |  14.3
bYhpy9u8fKkGhYHtvYXazQ  |  Dec  |  2.792  |  2.826     |  1.2
bYhpy9u8fKkGhYHtvYXazQ  |  Oct  |  2.955  |  2.864     |  3.1
VVeogjZya58oiTxK7qUjAQ  |  Mar  |  3.964  |  3.571     |  9.9
VVeogjZya58oiTxK7qUjAQ  |  Feb  |  3.765  |  3.394     |  9.8
VVeogjZya58oiTxK7qUjAQ  |  Aug  |  4.250  |  4.192     |  1.4
VVeogjZya58oiTxK7qUjAQ  |  Sep  |  3.808  |  3.962     |  4.0
VVeogjZya58oiTxK7qUjAQ  |  Apr  |  3.872  |  3.410     |  11.9
VVeogjZya58oiTxK7qUjAQ  |  Jun  |  3.826  |  3.783     |  1.1
VVeogjZya58oiTxK7qUjAQ  |  Jul  |  3.412  |  3.529     |  3.4
VVeogjZya58oiTxK7qUjAQ  |  Jan  |  3.821  |  4.000     |  4.7
VVeogjZya58oiTxK7qUjAQ  |  May  |  3.861  |  3.629     |  6.0
VVeogjZya58oiTxK7qUjAQ  |  Nov  |  4.042  |  4.091     |  1.2
VVeogjZya58oiTxK7qUjAQ  |  Dec  |  4.182  |  4.273     |  2.2
VVeogjZya58oiTxK7qUjAQ  |  Oct  |  3.955  |  4.045     |  2.3
zTCCbg7mGslxACL5KlAPIQ  |  Mar  |  3.050  |  3.150     |  3.3
zTCCbg7mGslxACL5KlAPIQ  |  Feb  |  3.318  |  3.318     |  0.0
zTCCbg7mGslxACL5KlAPIQ  |  Aug  |  3.786  |  3.667     |  3.1
zTCCbg7mGslxACL5KlAPIQ  |  Sep  |  3.062  |  3.188     |  4.1
zTCCbg7mGslxACL5KlAPIQ  |  Apr  |  2.882  |  2.706     |  6.1
zTCCbg7mGslxACL5KlAPIQ  |  Jun  |  3.875  |  3.688     |  4.8
zTCCbg7mGslxACL5KlAPIQ  |  Jul  |  3.607  |  3.429     |  5.0
zTCCbg7mGslxACL5KlAPIQ  |  Jan  |  3.455  |  3.182     |  7.9
zTCCbg7mGslxACL5KlAPIQ  |  May  |  2.917  |  2.917     |  0.0
zTCCbg7mGslxACL5KlAPIQ  |  Nov  |  3.318  |  3.273     |  1.4
zTCCbg7mGslxACL5KlAPIQ  |  Dec  |  2.750  |  3.083     |  12.1
zTCCbg7mGslxACL5KlAPIQ  |  Oct  |  3.095  |  2.905     |  6.2
YNQgak-ZLtYJQxlDwN-qIg  |  Mar  |  3.741  |  3.222     |  13.9
YNQgak-ZLtYJQxlDwN-qIg  |  Feb  |  4.120  |  4.080     |  1.0
YNQgak-ZLtYJQxlDwN-qIg  |  Aug  |  3.579  |  3.838     |  7.2
YNQgak-ZLtYJQxlDwN-qIg  |  Sep  |  3.095  |  3.000     |  3.1
YNQgak-ZLtYJQxlDwN-qIg  |  Apr  |  3.448  |  3.241     |  6.0
YNQgak-ZLtYJQxlDwN-qIg  |  Jun  |  3.065  |  3.258     |  6.3
YNQgak-ZLtYJQxlDwN-qIg  |  Jul  |  3.857  |  3.643     |  5.6
YNQgak-ZLtYJQxlDwN-qIg  |  Jan  |  3.611  |  3.444     |  4.6
YNQgak-ZLtYJQxlDwN-qIg  |  May  |  3.640  |  3.120     |  14.3
YNQgak-ZLtYJQxlDwN-qIg  |  Nov  |  3.167  |  3.778     |  19.3
YNQgak-ZLtYJQxlDwN-qIg  |  Dec  |  2.714  |  3.029     |  11.6
YNQgak-ZLtYJQxlDwN-qIg  |  Oct  |  3.190  |  3.286     |  3.0
iXA8Y2bzvZo8MjALfZxrIg  |  Mar  |  3.615  |  3.462     |  4.3
iXA8Y2bzvZo8MjALfZxrIg  |  Feb  |  3.700  |  3.900     |  5.4
iXA8Y2bzvZo8MjALfZxrIg  |  Aug  |  3.600  |  3.333     |  7.4
iXA8Y2bzvZo8MjALfZxrIg  |  Sep  |  4.000  |  4.429     |  10.7
iXA8Y2bzvZo8MjALfZxrIg  |  Apr  |  3.167  |  3.750     |  18.4
iXA8Y2bzvZo8MjALfZxrIg  |  Jun  |  3.375  |  3.750     |  11.1
iXA8Y2bzvZo8MjALfZxrIg  |  Jul  |  3.393  |  3.214     |  5.3
iXA8Y2bzvZo8MjALfZxrIg  |  Jan  |  3.000  |  3.727     |  24.2
iXA8Y2bzvZo8MjALfZxrIg  |  May  |  3.647  |  3.562     |  2.3
iXA8Y2bzvZo8MjALfZxrIg  |  Nov  |  3.667  |  3.778     |  3.0
iXA8Y2bzvZo8MjALfZxrIg  |  Dec  |  4.000  |  4.000     |  0.0
iXA8Y2bzvZo8MjALfZxrIg  |  Oct  |  3.714  |  3.000     |  19.2
KpZLxHrp2PIP8tLBsPLiww  |  Mar  |  4.250  |  4.125     |  2.9
KpZLxHrp2PIP8tLBsPLiww  |  Feb  |  4.300  |  4.300     |  0.0
KpZLxHrp2PIP8tLBsPLiww  |  Aug  |  3.480  |  3.320     |  4.6
KpZLxHrp2PIP8tLBsPLiww  |  Sep  |  3.684  |  3.263     |  11.4
KpZLxHrp2PIP8tLBsPLiww  |  Apr  |  3.688  |  3.500     |  5.1
KpZLxHrp2PIP8tLBsPLiww  |  Jun  |  3.438  |  3.062     |  10.9
KpZLxHrp2PIP8tLBsPLiww  |  Jul  |  3.273  |  2.818     |  13.9
KpZLxHrp2PIP8tLBsPLiww  |  Jan  |  3.500  |  3.100     |  11.4
KpZLxHrp2PIP8tLBsPLiww  |  May  |  4.000  |  3.091     |  22.7
KpZLxHrp2PIP8tLBsPLiww  |  Nov  |  4.286  |  3.571     |  16.7
KpZLxHrp2PIP8tLBsPLiww  |  Dec  |  3.040  |  2.800     |  7.9
KpZLxHrp2PIP8tLBsPLiww  |  Oct  |  3.923  |  4.154     |  5.9
oFvqnJNxHguP3iBj-jZUGA  |  Mar  |  4.500  |  3.133     |  30.4
oFvqnJNxHguP3iBj-jZUGA  |  Feb  |  5.000  |  4.417     |  11.7
oFvqnJNxHguP3iBj-jZUGA  |  Aug  |  4.571  |  4.167     |  8.9
oFvqnJNxHguP3iBj-jZUGA  |  Sep  |  4.778  |  3.625     |  24.1
oFvqnJNxHguP3iBj-jZUGA  |  Apr  |  4.938  |  3.467     |  29.8
oFvqnJNxHguP3iBj-jZUGA  |  Jun  |  4.769  |  3.308     |  30.6
oFvqnJNxHguP3iBj-jZUGA  |  Jul  |  4.889  |  3.778     |  22.7
oFvqnJNxHguP3iBj-jZUGA  |  Jan  |  4.812  |  3.625     |  24.7
oFvqnJNxHguP3iBj-jZUGA  |  May  |  4.600  |  3.111     |  32.4
oFvqnJNxHguP3iBj-jZUGA  |  Nov  |  5.000  |  3.800     |  24.0
oFvqnJNxHguP3iBj-jZUGA  |  Dec  |  4.714  |  3.429     |  27.3
oFvqnJNxHguP3iBj-jZUGA  |  Oct  |  4.400  |  3.400     |  22.7
SsTxjxo8qvqBMvan1rzNzg  |  Mar  |  3.652  |  3.696     |  1.2
SsTxjxo8qvqBMvan1rzNzg  |  Feb  |  3.870  |  3.522     |  9.0
SsTxjxo8qvqBMvan1rzNzg  |  Aug  |  3.943  |  3.794     |  3.8
SsTxjxo8qvqBMvan1rzNzg  |  Sep  |  3.885  |  3.577     |  7.9
SsTxjxo8qvqBMvan1rzNzg  |  Apr  |  3.879  |  3.758     |  3.1
SsTxjxo8qvqBMvan1rzNzg  |  Jun  |  4.200  |  4.320     |  2.9
SsTxjxo8qvqBMvan1rzNzg  |  Jul  |  4.000  |  3.600     |  10.0
SsTxjxo8qvqBMvan1rzNzg  |  Jan  |  4.057  |  3.400     |  16.2
